name,role,country,team,price
Virat Kohli,Batsman,India,RCB,170000000
AB de Villiers,Wicket Keeper,South Africa,RCB,110000000
Chris Morris,All Rounder,South Africa,RCB,100000000
Yuzvendra Chahal,Bowler,India,RCB,60000000
Shivam Dube,All Rounder,India,RCB,50000000
Aaron Finch,Batsman,Australia,RCB,44000000
Umesh Yadav,Bowler,India,RCB,42000000
Kane Richardson,Bowler,Australia,RCB,40000000
Washington Sundar,All Rounder,India,RCB,32000000
Navdeep Saini,Bowler,India,RCB,30000000
Mohammed Siraj,Bowler,India,RCB,26000000
Dale Steyn,Bowler,South Africa,RCB,20000000
Moeen Ali,All Rounder,England,RCB,17000000
Parthiv Patel,Wicket Keeper,India,RCB,17000000
Pawan Negi,All Rounder,India,RCB,10000000
Gurkeerat Singh,All Rounder,India,RCB,5000000
Isuru Udana,All Rounder,Sri Lanka,RCB,5000000
Devdutt Padikkal,Batsman,India,RCB,2000000
Pavan Deshpande,All Rounder,India,RCB,2000000
Shahbaz Ahamad,Wicket Keeper,India,RCB,2000000
Joshua Philippe,Wicket Keeper,Australia,RCB,2000000
MS Dhoni,Wicket Keeper,India,CSK,150000000
Suresh Raina,Batsman,India,CSK,110000000
Kedar Jadhav,All Rounder,India,CSK,78000000
Ravindra Jadeja,All Rounder,India,CSK,70000000
Piyush Chawla,Bowler,India,CSK,67500000
Dwayne Bravo,All Rounder,West Indies,CSK,64000000
Sam Curran,All Rounder,England,CSK,55000000
Karn Sharma,Bowler,India,CSK,50000000
Shane Watson,All Rounder,Australia,CSK,40000000
Shardul Thakur,Bowler,India,CSK,26000000
Ambati Rayudu,Wicket Keeper,India,CSK,22000000
Harbhajan Singh,Bowler,India,CSK,20000000
Murali Vijay,Batsman,India,CSK,20000000
Josh Hazlewood,Bowler,Australia,CSK,20000000
Faf Du Plessis,Batsman,South Africa,CSK,16000000
Imran Tahir,Bowler,South Africa,CSK,10000000
Deepak Chahar,All Rounder,India,CSK,8000000
Lungisani Ngidi,Bowler,South Africa,CSK,5000000
Mitchell Santner,All Rounder,New Zealand,CSK,5000000
Asif K M,Bowler,India,CSK,4000000
Jagadeesan Narayan,Wicket Keeper,India,CSK,2000000
Monu Singh,Bowler,India,CSK,2000000
Ruturaj Gaikwad,Batsman,India,CSK,2000000
R Sai Kishore,Bowler,India,CSK,2000000
Rishabh Pant,Wicket Keeper,India,DC,150000000
Shimron Hetmyer,Batsman,West Indies,DC,77500000
Ravichandran Ashwin,All Rounder,India,DC,76000000
Shreyas Iyer,Batsman,India,DC,70000000
Ajinkya Rahane,Batsman,India,DC,52500000
Shikhar Dhawan,Batsman,India,DC,52000000
Axar Patel,All Rounder,India,DC,50000000
Marcus Stoinis,All Rounder,Australia,DC,48000000
Kagiso Rabada,Bowler,South Africa,DC,42000000
Amit Mishra,Bowler,India,DC,40000000
Alex Carey,Wicket Keeper,Australia,DC,24000000
Jason Roy,Batsman,England,DC,15000000
Chris Woakes,All Rounder,England,DC,15000000
Prithvi Shaw,Batsman,India,DC,12000000
Ishant Sharma,Bowler,India,DC,11000000
Avesh Khan,Bowler,India,DC,7000000
Keemo Paul,All Rounder,West Indies,DC,5000000
Mohit Sharma,Bowler,India,DC,5000000
Harshal Patel,All Rounder,India,DC,2000000
Sandeep Lamichhane,Bowler,Nepal,DC,2000000
Tushar Deshpande,Bowler,India,DC,2000000
Lalit Yadav,All Rounder,India,DC,2000000
David Warner,Batsman,Australia,SRH,125000000
Manish Pandey,Batsman,India,SRH,110000000
Rashid Khan Arman,Bowler,Afghanistan,SRH,90000000
Bhuvneshwar Kumar,Bowler,India,SRH,85000000
Siddharth Kaul,Bowler,India,SRH,38000000
Shahbaz Nadeem,Bowler,India,SRH,32000000
Vijay Shankar,All Rounder,India,SRH,32000000
Kane Williamson,Batsman,New Zealand,SRH,30000000
Sandeep Sharma,Bowler,India,SRH,30000000
Syed Khaleel Ahmed,Bowler,India,SRH,30000000
Jonny Bairstow,Wicket Keeper,England,SRH,22000000
Mitchell Marsh,All Rounder,Australia,SRH,20000000
Priyam Garg,Batsman,India,SRH,19000000
Virat Singh,Batsman,India,SRH,19000000
Wriddhiman Saha,Wicket Keeper,India,SRH,12000000
Mohammad Nabi Eisakhil,All Rounder,Afghanistan,SRH,10000000
Shreevats Goswami,Wicket Keeper,India,SRH,10000000
